,timestamp,location,price,FirstName,LastName
0,2014-01-06,Brew've Been Served,4.17,Cornelia,Lais
1,2014-01-06,Brew've Been Served,9.6,Mat,Bramar
2,2014-01-06,Hallowed Grounds,16.53,Emile,Arpa
3,2014-01-06,Coffee Shack,11.51,Varro,Awelon
4,2014-01-06,Hallowed Grounds,12.93,Rachel,Pantanal
5,2014-01-06,Brew've Been Served,4.27,Ruscella,Mies Haber
6,2014-01-06,Brew've Been Served,11.2,Linda,Lagos
7,2014-01-06,Brew've Been Served,15.39,Dante,Coginian
8,2014-01-06,Abila Zacharo,26.93,Carla,Forluniau
9,2014-01-06,Hippokampos,34.03,Anda,Ribera
10,2014-01-06,Kalami Kafenion,8.64,Ruscella,Mies Haber
11,2014-01-06,Katerina’s Café,33.54,Linda,Lagos
12,2014-01-06,Hippokampos,36.54,Rachel,Pantanal
13,2014-01-06,Ouzeri Elian,20.74,Cornelia,Lais
14,2014-01-06,Kalami Kafenion,13.08,Varro,Awelon
15,2014-01-06,Hippokampos,38.25,Dante,Coginian
16,2014-01-06,Hippokampos,30.88,Mat,Bramar
17,2014-01-06,Kalami Kafenion,27.4,Emile,Arpa
18,2014-01-06,Katerina’s Café,38.65,Linda,Lagos
19,2014-01-06,Katerina’s Café,26.46,Emile,Arpa
20,2014-01-06,Frydos Autosupply n' More,80.85,Dante,Coginian
21,2014-01-06,Frydos Autosupply n' More,175.87,Cornelia,Lais
22,2014-01-06,Katerina’s Café,28.0,Anda,Ribera
23,2014-01-06,Hippokampos,24.41,Varro,Awelon
24,2014-01-06,Frydos Autosupply n' More,89.3,Ruscella,Mies Haber
25,2014-01-06,Katerina’s Café,26.51,Mat,Bramar
26,2014-01-07,Brew've Been Served,12.74,Cornelia,Lais
27,2014-01-07,Hallowed Grounds,8.91,Emile,Arpa
28,2014-01-07,Coffee Shack,16.63,Varro,Awelon
29,2014-01-07,Brew've Been Served,4.39,Ruscella,Mies Haber
30,2014-01-07,Brew've Been Served,11.91,Mat,Bramar
31,2014-01-07,Hallowed Grounds,8.42,Rachel,Pantanal
32,2014-01-07,Coffee Cameleon,12.44,Carla,Forluniau
33,2014-01-07,Brew've Been Served,17.4,Dante,Coginian
34,2014-01-07,Hallowed Grounds,10.33,Anda,Ribera
35,2014-01-07,Brew've Been Served,15.66,Linda,Lagos
36,2014-01-07,Kalami Kafenion,11.64,Ruscella,Mies Haber
37,2014-01-07,Ouzeri Elian,28.37,Mat,Bramar
38,2014-01-07,Ouzeri Elian,17.71,Cornelia,Lais
39,2014-01-07,Abila Zacharo,32.4,Carla,Forluniau
40,2014-01-07,Gelatogalore,36.5,Rachel,Pantanal
41,2014-01-07,Ouzeri Elian,21.85,Linda,Lagos
42,2014-01-07,Katerina’s Café,37.44,Dante,Coginian
43,2014-01-07,Gelatogalore,15.4,Anda,Ribera
44,2014-01-07,Hippokampos,37.57,Emile,Arpa
45,2014-01-07,Albert's Fine Clothing,78.91,Varro,Awelon
46,2014-01-07,Katerina’s Café,31.6,Linda,Lagos
47,2014-01-07,Katerina’s Café,25.02,Dante,Coginian
48,2014-01-07,Guy's Gyros,23.12,Cornelia,Lais
49,2014-01-07,Katerina’s Café,25.54,Anda,Ribera
50,2014-01-07,Ouzeri Elian,20.53,Rachel,Pantanal
51,2014-01-08,Hallowed Grounds,5.85,Emile,Arpa
52,2014-01-08,Brew've Been Served,3.09,Mat,Bramar
53,2014-01-08,Hallowed Grounds,3.9,Rachel,Pantanal
54,2014-01-08,Coffee Shack,13.13,Varro,Awelon
55,2014-01-08,Brew've Been Served,14.88,Cornelia,Lais
